segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long
1822,215573638,,secondary,6.4437654,3.4038299000000003,6.4436743,3.4034964000000003
1827,215641719,,trunk,6.444659399999999,3.3118124999999994,6.444913099999999,3.3123492
1828,215641726,,secondary,6.5051631,3.3258430999999997,6.5051631,3.3258430999999997
1830,215641730,,trunk,6.444913099999999,3.3123492,6.4454212,3.3120325
1834,215641738,Okota Road,secondary,6.507540299999999,3.3225703000000006,6.508489,3.3218904000000005
1837,215641747,,secondary,6.506718400000001,3.3232269,6.5072711000000005,3.3229029000000003
1839,215641751,,secondary,6.505021599999999,3.3260425000000002,6.5056107999999995,3.3259203000000004
1840,215649056,Boundary Road,tertiary,6.454982200000001,3.3509036,6.4550553,3.3509033
1843,215649060,Dockyard Road,primary,6.451575686392028,3.3707405062308298,6.4476398,3.3743152999999997
1845,215667085,Alhaji Masha Road,secondary,6.4999558,3.3551993,6.500051800000001,3.354907
1846,215667086,,tertiary,6.499390599999999,3.3566106000000007,6.4981759,3.3602522999999995
1847,215667088,Herbert Macaulay Street,trunk,6.516730199999998,3.3686932000000005,6.516802799999999,3.3651842000000003
1850,215667092,Adelabu Street,secondary,6.5009372999999995,3.3504431000000006,6.501699699999999,3.3508189999999995
1851,215667093,,tertiary,6.498746500000001,3.3584482000000007,6.4990257,3.3586149
1858,215667100,Adelabu Street,secondary,6.496596776703325,3.349274275539146,6.4934186,3.3486406
1859,215667102,Alhaji Masha Road,secondary,6.502831400000001,3.3491952000000005,6.5029734,3.3485888000000004
1863,215667108,Alhaji Masha Road,secondary,6.5025062,3.3497223000000003,6.502831400000001,3.3491952000000005
1864,215667111,Murtula Muhammed Way,trunk,6.5153819,3.3691652,6.51117931522565,3.370836913449231
1875,215667117,Alhaji Masha Road,secondary,6.499390599999999,3.3566106000000007,6.4992152999999995,3.3571893
1880,215667122,Herbert Macaulay Way,primary,6.516603199999999,3.3687395999999996,6.517045367903192,3.372927813952869
1882,215667122,Herbert Macaulay Way,primary,6.514281242721821,3.376163461693405,6.5100790301469935,3.377836128017015
1885,215667122,Herbert Macaulay Way,primary,6.501311228510093,3.377578524738957,6.497256678166359,3.3794583065979076
1886,215667122,Herbert Macaulay Way,primary,6.497256678166359,3.3794583065979076,6.491359100000001,3.3822608
1890,215667129,Alhaji Masha Road,secondary,6.5029734,3.3485888000000004,6.502759499999998,3.3491344999999995
1892,215667131,Alhaji Masha Road,secondary,6.4992549,3.3572110000000004,6.4994759,3.3566186
1895,215667135,Alhaji Masha Road,secondary,6.499972100000001,3.3548822000000005,6.499880899999997,3.3551648999999997
1899,216239503,Ago Okota Expressway,tertiary,6.486105799999997,3.3011154000000005,6.485343599999999,3.3015633000000006
1900,216239504,Rafiu Babatunde Road,tertiary,6.465287300000001,3.312614,6.4712622,3.3123072000000002
1901,216239507,Rafiu Babatunde Road,tertiary,6.4712584,3.3121953999999993,6.465287299999999,3.3125014
1904,216239512,Ago Okota Expressway,tertiary,6.485343599999999,3.3015633000000006,6.482207438978504,3.304744039404279
1905,216239512,Ago Okota Expressway,tertiary,6.482207438978504,3.304744039404279,6.479404198752959,3.3082926608619982
1911,216239516,Ago Okota Expressway,tertiary,6.479385849884319,3.308553265814241,6.48218736915168,3.305003177578705
