id,segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,gsv_metadata,copyright,date,location,pano_id,status,url_img0,url_img90,url_img180,url_img270
48,925,34300800,North Brook Hall Road,tertiary,23.7043571,90.4121348,23.7049682,90.4124807,"{u'date': u'2013-03', u'status': u'OK', u'location': {u'lat': 23.7043591904, u'lng': 90.4121264118}, u'copyright': u'© 2017 Google', u'pano_id': u'GpK8fv-XPmUpymGcS9wmkg'}",© 2017 Google,2013-03,"{u'lat': 23.7043591904, u'lng': 90.4121264118}",GpK8fv-XPmUpymGcS9wmkg,OK,dhaka/img0_0048.jpg,dhaka/img90_0048.jpg,dhaka/img180_0048.jpg,dhaka/img270_0048.jpg
49,930,34317352,Parydas Rd,tertiary,23.7060334,90.4151118,23.7061136,90.4125076,"{u'date': u'2013-04', u'status': u'OK', u'location': {u'lat': 23.7060310325, u'lng': 90.4151362749}, u'copyright': u'© 2017 Google', u'pano_id': u'm1DtKoMNXBrjNHkXaG1tUw'}",© 2017 Google,2013-04,"{u'lat': 23.7060310325, u'lng': 90.4151362749}",m1DtKoMNXBrjNHkXaG1tUw,OK,dhaka/img0_0049.jpg,dhaka/img90_0049.jpg,dhaka/img180_0049.jpg,dhaka/img270_0049.jpg
50,939,34605215,Phonix Road,secondary,23.7249559,90.4108192,23.7245732,90.4053674,"{u'date': u'2013-06', u'status': u'OK', u'location': {u'lat': 23.7249732747, u'lng': 90.410839177}, u'copyright': u'© 2017 Google', u'pano_id': u'BrmBzJtfUuHi5QodLGsWEQ'}",© 2017 Google,2013-06,"{u'lat': 23.7249732747, u'lng': 90.410839177}",BrmBzJtfUuHi5QodLGsWEQ,OK,dhaka/img0_0050.jpg,dhaka/img90_0050.jpg,dhaka/img180_0050.jpg,dhaka/img270_0050.jpg
52,985,45425688,Dhaka-Sylhet Highway,trunk,23.9199334559,90.6954432227,23.9164309963,90.6923471113,"{u'date': u'2015-08', u'status': u'OK', u'location': {u'lat': 23.9199412675, u'lng': 90.695464602}, u'copyright': u'© 2017 Google', u'pano_id': u'v0x3nmk-anovUbaMzXGkUg'}",© 2017 Google,2015-08,"{u'lat': 23.9199412675, u'lng': 90.695464602}",v0x3nmk-anovUbaMzXGkUg,OK,dhaka/img0_0052.jpg,dhaka/img90_0052.jpg,dhaka/img180_0052.jpg,dhaka/img270_0052.jpg
53,990,48492731,,trunk,23.5884008,89.8084375,23.5887291,89.8082004,"{u'date': u'2013-09', u'status': u'OK', u'location': {u'lat': 23.5883559, u'lng': 89.8085002}, u'copyright': u'© 2017 Google', u'pano_id': u'wKbvW1Pxq95VH8vMQC-Qyw'}",© 2017 Google,2013-09,"{u'lat': 23.5883559, u'lng': 89.8085002}",wKbvW1Pxq95VH8vMQC-Qyw,OK,dhaka/img0_0053.jpg,dhaka/img90_0053.jpg,dhaka/img180_0053.jpg,dhaka/img270_0053.jpg
61,1140,60510545,,secondary,22.9595960616,89.8185934043,22.9554965321,89.8206229475,"{u'date': u'2013-11', u'status': u'OK', u'location': {u'lat': 22.9595334892, u'lng': 89.8185245166}, u'copyright': u'© 2017 Google', u'pano_id': u'RqxpXjtOXYs_HXpB1PKa8Q'}",© 2017 Google,2013-11,"{u'lat': 22.9595334892, u'lng': 89.8185245166}",RqxpXjtOXYs_HXpB1PKa8Q,OK,dhaka/img0_0061.jpg,dhaka/img90_0061.jpg,dhaka/img180_0061.jpg,dhaka/img270_0061.jpg
65,1184,60510547,,secondary,23.2297212286,90.0177458073,23.2323077868,90.0137698087,"{u'date': u'2013-11', u'status': u'OK', u'location': {u'lat': 23.2296867482, u'lng': 90.0177222236}, u'copyright': u'© 2017 Google', u'pano_id': u'ohAy08IWDHZBrboX5BmIHg'}",© 2017 Google,2013-11,"{u'lat': 23.2296867482, u'lng': 90.0177222236}",ohAy08IWDHZBrboX5BmIHg,OK,dhaka/img0_0065.jpg,dhaka/img90_0065.jpg,dhaka/img180_0065.jpg,dhaka/img270_0065.jpg
66,1187,60510547,,secondary,23.2321697057,90.0051361001,23.2300667087,90.0008185991,"{u'date': u'2013-11', u'status': u'OK', u'location': {u'lat': 23.2321898742, u'lng': 90.0051408615}, u'copyright': u'© 2017 Google', u'pano_id': u'wgjnOE7f-J1wszBKElInfQ'}",© 2017 Google,2013-11,"{u'lat': 23.2321898742, u'lng': 90.0051408615}",wgjnOE7f-J1wszBKElInfQ,OK,dhaka/img0_0066.jpg,dhaka/img90_0066.jpg,dhaka/img180_0066.jpg,dhaka/img270_0066.jpg
68,1214,60513476,Dhaka - Kushtia Hwy,trunk,23.7549443371,89.6138751808,23.7541892477,89.6090470228,"{u'date': u'2013-11', u'status': u'OK', u'location': {u'lat': 23.754934779, u'lng': 89.6138637885}, u'copyright': u'© 2017 Google', u'pano_id': u'IJnAM5OJngXH0yfWS3rp9w'}",© 2017 Google,2013-11,"{u'lat': 23.754934779, u'lng': 89.6138637885}",IJnAM5OJngXH0yfWS3rp9w,OK,dhaka/img0_0068.jpg,dhaka/img90_0068.jpg,dhaka/img180_0068.jpg,dhaka/img270_0068.jpg
69,1226,60513476,Dhaka - Kushtia Hwy,trunk,23.7558456197,89.5565342336,23.7558995339,89.5516558506,"{u'date': u'2013-11', u'status': u'OK', u'location': {u'lat': 23.7558599573, u'lng': 89.5564830364}, u'copyright': u'© 2017 Google', u'pano_id': u'T3E9MRsB2NcsJnhV7mypWQ'}",© 2017 Google,2013-11,"{u'lat': 23.7558599573, u'lng': 89.5564830364}",T3E9MRsB2NcsJnhV7mypWQ,OK,dhaka/img0_0069.jpg,dhaka/img90_0069.jpg,dhaka/img180_0069.jpg,dhaka/img270_0069.jpg
70,1228,60513476,Dhaka - Kushtia Hwy,trunk,23.7558732678,89.5467571275,23.7560001565,89.5418726714,"{u'date': u'2013-11', u'status': u'OK', u'location': {u'lat': 23.7558092329, u'lng': 89.54673072}, u'copyright': u'© 2017 Google', u'pano_id': u'3OtP_3d1cr9CR3QIRyNFEA'}",© 2017 Google,2013-11,"{u'lat': 23.7558092329, u'lng': 89.54673072}",3OtP_3d1cr9CR3QIRyNFEA,OK,dhaka/img0_0070.jpg,dhaka/img90_0070.jpg,dhaka/img180_0070.jpg,dhaka/img270_0070.jpg
71,1246,60513476,Dhaka - Kushtia Hwy,trunk,23.7536245584,89.4664227373,23.7553083926,89.4618851803,"{u'date': u'2013-11', u'status': u'OK', u'location': {u'lat': 23.7536304892, u'lng': 89.4663940605}, u'copyright': u'© 2017 Google', u'pano_id': u'TVTx9JwmQyMHW2xNbM0_kA'}",© 2017 Google,2013-11,"{u'lat': 23.7536304892, u'lng': 89.4663940605}",TVTx9JwmQyMHW2xNbM0_kA,OK,dhaka/img0_0071.jpg,dhaka/img90_0071.jpg,dhaka/img180_0071.jpg,dhaka/img270_0071.jpg
72,1363,60515855,,tertiary,23.0270135195,89.8503610033,23.0233433378,89.8482461936,"{u'date': u'2015-11', u'status': u'OK', u'location': {u'lat': 23.0270209138, u'lng': 89.8503311897}, u'copyright': u'© 2017 Google', u'pano_id': u'JtjP8q3OYnrMQTn2uOuyjg'}",© 2017 Google,2015-11,"{u'lat': 23.0270209138, u'lng': 89.8503311897}",JtjP8q3OYnrMQTn2uOuyjg,OK,dhaka/img0_0072.jpg,dhaka/img90_0072.jpg,dhaka/img180_0072.jpg,dhaka/img270_0072.jpg
73,1365,60515855,,tertiary,23.0201671041,89.8455605458,23.0161269485,89.8451559749,"{u'date': u'2015-11', u'status': u'OK', u'location': {u'lat': 23.020238799, u'lng': 89.8454757467}, u'copyright': u'© 2017 Google', u'pano_id': u'2ch77NgVH-9_JdtaLq05Wg'}",© 2017 Google,2015-11,"{u'lat': 23.020238799, u'lng': 89.8454757467}",2ch77NgVH-9_JdtaLq05Wg,OK,dhaka/img0_0073.jpg,dhaka/img90_0073.jpg,dhaka/img180_0073.jpg,dhaka/img270_0073.jpg
